71,3238,7014,48.8,4930,14382,2980,1391,13,1,t,mmendesc,2017-05-28 15:00:36.052393,2017-05-28 15:00:36.052393,
72,540,1221,56.2,546,2172,546,200,12,6,t,Vinci279,2017-05-28 15:00:38.16303,2017-05-28 15:00:38.16303,
73,2602,4688,46.6,4274,10069,2615,866,13,2,t,m_makarios,2017-05-28 15:00:40.847894,2017-05-28 15:00:40.847894,
74,1129,3409,50.2,2081,6786,952,831,13,4,t,GuiConti,2017-05-28 15:00:43.1765,2017-05-28 15:00:43.1765,
75,8,10,71.4,0,14,2,0,10,7,t,rodrigotnoronha,2017-05-28 15:00:45.123453,2017-05-28 15:00:45.123453,
76,23,32,68.1,5,47,13,0,9,3,t,76561198146967680,2017-05-28 15:00:46.540464,2017-05-28 15:00:46.540464,
77,3252,7037,48.8,4954,14433,2996,1393,14,1,t,mmendesc,2017-05-29 15:00:10.407265,2017-05-29 15:00:10.407265,
78,543,1231,56.4,551,2184,551,201,13,6,t,Vinci279,2017-05-29 15:00:12.754534,2017-05-29 15:00:12.754534,
79,2617,4726,46.6,4310,10148,2624,874,14,2,t,m_makarios,2017-05-29 15:00:15.144974,2017-05-29 15:00:15.144974,
80,1137,3418,50.2,2095,6806,956,835,14,4,t,GuiConti,2017-05-29 15:00:17.27132,2017-05-29 15:00:17.27132,
81,8,10,71.4,0,14,2,0,11,7,t,rodrigotnoronha,2017-05-29 15:00:19.242303,2017-05-29 15:00:19.242303,
82,23,32,68.1,5,47,13,0,10,3,t,76561198146967680,2017-05-29 15:00:20.766197,2017-05-29 15:00:20.766197,
83,3253,7038,48.8,4956,14436,2999,1393,15,1,t,mmendesc,2017-05-30 15:00:43.969997,2017-05-30 15:00:43.969997,
84,547,1243,56.5,559,2201,555,203,14,6,t,Vinci279,2017-05-30 15:00:46.297178,2017-05-30 15:00:46.297178,
85,2617,4726,46.6,4310,10148,2624,874,15,2,t,m_makarios,2017-05-30 15:00:48.655981,2017-05-30 15:00:48.655981,
86,1137,3418,50.2,2095,6806,956,835,15,4,t,GuiConti,2017-05-30 15:00:50.61444,2017-05-30 15:00:50.61444,
87,8,10,71.4,0,14,2,0,12,7,t,rodrigotnoronha,2017-05-30 15:00:52.097271,2017-05-30 15:00:52.097271,
88,23,32,68.1,5,47,13,0,11,3,t,76561198146967680,2017-05-30 15:00:53.679303,2017-05-30 15:00:53.679303,
89,3268,7073,48.8,4981,14506,3014,1400,16,1,t,mmendesc,2017-05-31 15:00:26.49896,2017-05-31 15:00:26.49896,
90,548,1244,56.4,560,2204,557,203,15,6,t,Vinci279,2017-05-31 15:00:29.445453,2017-05-31 15:00:29.445453,
91,2625,4741,46.5,4329,10187,2629,878,16,2,t,m_makarios,2017-05-31 15:00:38.879245,2017-05-31 15:00:38.879245,
92,1144,3430,50.1,2106,6844,960,839,16,4,t,GuiConti,2017-05-31 15:00:41.558326,2017-05-31 15:00:41.558326,
93,8,10,71.4,0,14,2,0,13,7,t,rodrigotnoronha,2017-05-31 15:00:43.866363,2017-05-31 15:00:43.866363,
