60,Ranked Doubles 2v2,Platinum I,Division I,808,~13,~8,171,1,7,,mmendesc,,
61,Ranked Standard 3v3,Platinum II,Division II,898,~14,~8,275,1,7,,mmendesc,,
62,Ranked Duel 1v1,Gold I,Division III,629,,,1,6,6,,Vinci279,,
63,Ranked Doubles 2v2,Silver III,Division III,578,~5,~16,90,6,6,,Vinci279,,
64,Ranked Solo Standard 3v3,Gold I,Division II,602,~15,~4,23,6,6,,Vinci279,,
65,Ranked Standard 3v3,Silver III,Division IV,585,~19,~2,35,6,6,,Vinci279,,
66,Ranked Doubles 2v2,Platinum II,Division III,928,~6,~16,171,2,7,,m_makarios,,
67,Ranked Standard 3v3,Platinum III,Division I,954,~7,~14,285,2,7,,m_makarios,,
68,Ranked Duel 1v1,Gold III,Division III,763,~12,~9,12,2,7,,m_makarios,,
69,Ranked Doubles 2v2,Platinum III,Division II,968,~14,~8,81,4,7,,GuiConti,,
70,Ranked Standard 3v3,Platinum III,Division I,953,~8,~13,285,4,7,,GuiConti,,
71,Ranked Solo Standard 3v3,Bronze II,Division III,327,,,5,3,3,,76561198146967680,,
72,Ranked Doubles 2v2,Gold III,Division III,783,~10,~11,174,1,8,,mmendesc,,
73,Ranked Standard 3v3,Platinum II,Division II,895,~17,~5,277,1,8,,mmendesc,,
74,Ranked Duel 1v1,Gold I,Division III,629,,,1,6,7,,Vinci279,,
75,Ranked Doubles 2v2,Silver III,Division III,578,~5,~16,90,6,7,,Vinci279,,
76,Ranked Solo Standard 3v3,Gold I,Division II,602,~15,~4,23,6,7,,Vinci279,,
77,Ranked Standard 3v3,Silver III,Division IV,585,~19,~2,35,6,7,,Vinci279,,
78,Ranked Doubles 2v2,Platinum II,Division II,900,~12,~10,174,2,8,,m_makarios,,
79,Ranked Standard 3v3,Platinum III,Division I,950,~11,~10,287,2,8,,m_makarios,,
80,Ranked Duel 1v1,Gold III,Division III,763,~12,~9,12,2,8,,m_makarios,,
81,Ranked Doubles 2v2,Platinum III,Division II,968,~14,~8,81,4,8,,GuiConti,,
82,Ranked Standard 3v3,Platinum III,Division I,949,~12,~9,287,4,8,,GuiConti,,
83,Ranked Solo Standard 3v3,Bronze II,Division III,327,,,5,3,4,,76561198146967680,,
84,Ranked Doubles 2v2,Gold III,Division III,783,~10,~11,174,1,9,,mmendesc,,
85,Ranked Standard 3v3,Platinum II,Division II,895,~17,~5,277,1,9,,mmendesc,,
86,Ranked Duel 1v1,Gold I,Division III,629,,,1,6,8,,Vinci279,,
87,Ranked Doubles 2v2,Silver III,Division III,578,~5,~16,90,6,8,,Vinci279,,
88,Ranked Solo Standard 3v3,Gold I,Division II,602,~15,~4,23,6,8,,Vinci279,,
89,Ranked Standard 3v3,Silver III,Division IV,585,~19,~2,35,6,8,,Vinci279,,
90,Ranked Doubles 2v2,Platinum II,Division II,900,~12,~10,174,2,9,,m_makarios,,
91,Ranked Standard 3v3,Platinum III,Division I,950,~11,~10,287,2,9,,m_makarios,,
92,Ranked Duel 1v1,Gold III,Division III,763,~12,~9,12,2,9,,m_makarios,,
93,Ranked Doubles 2v2,Platinum III,Division II,968,~14,~8,81,4,9,,GuiConti,,
94,Ranked Standard 3v3,Platinum III,Division I,949,~12,~9,287,4,9,,GuiConti,,
95,Ranked Solo Standard 3v3,Bronze II,Division III,327,,,5,3,5,,76561198146967680,,
96,Ranked Doubles 2v2,Gold III,Division III,100,~693,,175,1,10,,mmendesc,,
97,Ranked Standard 3v3,Platinum II,Division II,100,~812,,277,1,10,,mmendesc,,
98,Ranked Duel 1v1,Bronze I,Division I,100,,,1,6,9,,Vinci279,,
99,Ranked Doubles 2v2,Silver III,Division III,100,~483,,91,6,9,,Vinci279,,
100,Ranked Solo Standard 3v3,Gold I,Division II,100,~517,,23,6,9,,Vinci279,,
101,Ranked Standard 3v3,Silver III,Division III,100,~483,,36,6,9,,Vinci279,,
102,Ranked Doubles 2v2,Platinum II,Division II,100,~812,,174,2,10,,m_makarios,,
103,Ranked Standard 3v3,Platinum III,Division I,100,~860,~840,287,2,10,,m_makarios,,
104,Ranked Duel 1v1,Gold III,Division III,100,~674,,12,2,10,,m_makarios,,
105,Ranked Doubles 2v2,Platinum III,Division II,100,~882,,81,4,10,,GuiConti,,
106,Ranked Standard 3v3,Platinum III,Division I,100,~860,~840,287,4,10,,GuiConti,,
107,Ranked Solo Standard 3v3,Bronze I,Division I,100,,,5,3,6,,76561198146967680,,
108,Ranked Doubles 2v2,Gold III,Division III,100,~693,,181,1,11,,mmendesc,2017-05-26 15:00:50.735708,2017-05-26 15:00:50.735708
109,Ranked Standard 3v3,Platinum II,Division II,100,~812,,277,1,11,,mmendesc,2017-05-26 15:00:50.745424,2017-05-26 15:00:50.745424
110,Ranked Duel 1v1,Bronze I,Division I,100,,,1,6,10,,Vinci279,2017-05-26 15:00:55.031087,2017-05-26 15:00:55.031087
111,Ranked Doubles 2v2,Silver III,Division III,100,~483,,96,6,10,,Vinci279,2017-05-26 15:00:55.041025,2017-05-26 15:00:55.041025
112,Ranked Solo Standard 3v3,Gold I,Division II,100,~517,,23,6,10,,Vinci279,2017-05-26 15:00:55.049911,2017-05-26 15:00:55.049911
113,Ranked Standard 3v3,Silver III,Division III,100,~483,,40,6,10,,Vinci279,2017-05-26 15:00:55.059092,2017-05-26 15:00:55.059092
114,Ranked Doubles 2v2,Platinum II,Division II,100,~812,,174,2,11,,m_makarios,2017-05-26 15:00:59.794909,2017-05-26 15:00:59.794909
115,Ranked Standard 3v3,Platinum III,Division I,100,~860,~840,287,2,11,,m_makarios,2017-05-26 15:00:59.805894,2017-05-26 15:00:59.805894
116,Ranked Duel 1v1,Gold III,Division III,100,~674,,12,2,11,,m_makarios,2017-05-26 15:00:59.81593,2017-05-26 15:00:59.81593
117,Ranked Doubles 2v2,Platinum III,Division II,100,~882,,81,4,11,,GuiConti,2017-05-26 15:01:04.300412,2017-05-26 15:01:04.300412
118,Ranked Standard 3v3,Platinum III,Division I,100,~860,~840,287,4,11,,GuiConti,2017-05-26 15:01:04.31067,2017-05-26 15:01:04.31067
119,Ranked Solo Standard 3v3,Bronze I,Division I,100,,,5,3,7,,76561198146967680,2017-05-26 15:01:10.927994,2017-05-26 15:01:10.927994
120,Ranked Doubles 2v2,Gold III,Division III,780,~693,,181,1,12,,mmendesc,2017-05-27 15:00:49.536755,2017-05-27 15:00:49.536755
121,Ranked Standard 3v3,Platinum II,Division II,895,~812,,277,1,12,,mmendesc,2017-05-27 15:00:49.548289,2017-05-27 15:00:49.548289
122,Ranked Duel 1v1,Bronze I,Division I,630,,,1,6,11,,Vinci279,2017-05-27 15:00:51.401626,2017-05-27 15:00:51.401626
123,Ranked Doubles 2v2,Silver III,Division III,578,~483,,96,6,11,,Vinci279,2017-05-27 15:00:51.420685,2017-05-27 15:00:51.420685
124,Ranked Solo Standard 3v3,Gold I,Division II,603,~517,,23,6,11,,Vinci279,2017-05-27 15:00:51.433368,2017-05-27 15:00:51.433368
125,Ranked Standard 3v3,Silver III,Division III,572,~483,,40,6,11,,Vinci279,2017-05-27 15:00:51.452429,2017-05-27 15:00:51.452429
126,Ranked Doubles 2v2,Platinum II,Division II,901,~812,,174,2,12,,m_makarios,2017-05-27 15:00:53.184029,2017-05-27 15:00:53.184029
127,Ranked Standard 3v3,Platinum III,Division I,950,~860,~840,287,2,12,,m_makarios,2017-05-27 15:00:53.19367,2017-05-27 15:00:53.19367
128,Ranked Duel 1v1,Gold III,Division III,764,~674,,12,2,12,,m_makarios,2017-05-27 15:00:53.201461,2017-05-27 15:00:53.201461
129,Ranked Doubles 2v2,Platinum III,Division II,969,~882,,81,4,12,,GuiConti,2017-05-27 15:00:55.40308,2017-05-27 15:00:55.40308
130,Ranked Standard 3v3,Platinum III,Division I,949,~860,~840,287,4,12,,GuiConti,2017-05-27 15:00:55.411523,2017-05-27 15:00:55.411523
131,Ranked Solo Standard 3v3,Bronze I,Division I,327,,,5,3,8,,76561198146967680,2017-05-27 15:01:06.155793,2017-05-27 15:01:06.155793
132,Ranked Doubles 2v2,Gold III,Division II,760,~672,,183,1,13,,mmendesc,2017-05-28 15:00:36.093331,2017-05-28 15:00:36.093331
133,Ranked Standard 3v3,Platinum II,Division II,895,~812,,277,1,13,,mmendesc,2017-05-28 15:00:36.104969,2017-05-28 15:00:36.104969
134,Ranked Duel 1v1,Bronze I,Division I,630,,,1,6,12,,Vinci279,2017-05-28 15:00:38.223948,2017-05-28 15:00:38.223948
135,Ranked Doubles 2v2,Silver III,Division IV,599,~504,,103,6,12,,Vinci279,2017-05-28 15:00:38.254639,2017-05-28 15:00:38.254639
136,Ranked Solo Standard 3v3,Gold I,Division II,603,~517,,23,6,12,,Vinci279,2017-05-28 15:00:38.266865,2017-05-28 15:00:38.266865
137,Ranked Standard 3v3,Silver III,Division IV,599,~504,,42,6,12,,Vinci279,2017-05-28 15:00:38.294256,2017-05-28 15:00:38.294256
138,Ranked Doubles 2v2,Platinum II,Division II,901,~812,,174,2,13,,m_makarios,2017-05-28 15:00:40.863303,2017-05-28 15:00:40.863303
139,Ranked Standard 3v3,Platinum III,Division I,950,~860,~840,287,2,13,,m_makarios,2017-05-28 15:00:40.872629,2017-05-28 15:00:40.872629
140,Ranked Duel 1v1,Gold III,Division III,764,~674,,12,2,13,,m_makarios,2017-05-28 15:00:40.882024,2017-05-28 15:00:40.882024
141,Ranked Doubles 2v2,Platinum III,Division II,969,~882,,81,4,13,,GuiConti,2017-05-28 15:00:43.1989,2017-05-28 15:00:43.1989
142,Ranked Standard 3v3,Platinum III,Division I,949,~860,~840,287,4,13,,GuiConti,2017-05-28 15:00:43.211926,2017-05-28 15:00:43.211926
143,Ranked Solo Standard 3v3,Bronze I,Division I,327,,,5,3,9,,76561198146967680,2017-05-28 15:00:46.558203,2017-05-28 15:00:46.558203
144,Ranked Doubles 2v2,Gold III,Division II,765,~672,,195,1,14,,mmendesc,2017-05-29 15:00:10.469145,2017-05-29 15:00:10.469145
145,Ranked Standard 3v3,Platinum III,Division I,945,~860,~840,286,1,14,,mmendesc,2017-05-29 15:00:10.484261,2017-05-29 15:00:10.484261
146,Ranked Duel 1v1,Bronze I,Division I,630,,,1,6,13,,Vinci279,2017-05-29 15:00:12.772448,2017-05-29 15:00:12.772448
147,Ranked Doubles 2v2,Silver III,Division IV,599,~504,,103,6,13,,Vinci279,2017-05-29 15:00:12.783054,2017-05-29 15:00:12.783054
148,Ranked Solo Standard 3v3,Gold I,Division II,603,~517,,23,6,13,,Vinci279,2017-05-29 15:00:12.792566,2017-05-29 15:00:12.792566
149,Ranked Standard 3v3,Silver III,Division IV,584,~504,,43,6,13,,Vinci279,2017-05-29 15:00:12.802995,2017-05-29 15:00:12.802995
150,Ranked Doubles 2v2,Platinum II,Division II,901,~812,,186,2,14,,m_makarios,2017-05-29 15:00:15.162052,2017-05-29 15:00:15.162052
151,Ranked Standard 3v3,Platinum III,Division III,1000,~903,,296,2,14,,m_makarios,2017-05-29 15:00:15.170914,2017-05-29 15:00:15.170914
152,Ranked Duel 1v1,Gold III,Division III,756,~674,,14,2,14,,m_makarios,2017-05-29 15:00:15.18046,2017-05-29 15:00:15.18046
153,Ranked Doubles 2v2,Platinum III,Division II,969,~882,,81,4,14,,GuiConti,2017-05-29 15:00:17.292774,2017-05-29 15:00:17.292774
154,Ranked Standard 3v3,Platinum III,Division III,999,~903,,296,4,14,,GuiConti,2017-05-29 15:00:17.304886,2017-05-29 15:00:17.304886
155,Ranked Solo Standard 3v3,Bronze I,Division I,327,,,5,3,10,,76561198146967680,2017-05-29 15:00:20.784728,2017-05-29 15:00:20.784728
156,Ranked Doubles 2v2,Gold III,Division II,765,~7,~14,195,1,15,,mmendesc,2017-05-30 15:00:44.010736,2017-05-30 15:00:44.010736
157,Ranked Standard 3v3,Platinum III,Division I,945,~16,~5,286,1,15,,mmendesc,2017-05-30 15:00:44.019785,2017-05-30 15:00:44.019785
158,Ranked Duel 1v1,Gold I,Division III,630,,,1,6,14,,Vinci279,2017-05-30 15:00:46.325442,2017-05-30 15:00:46.325442
159,Ranked Doubles 2v2,Gold I,Division I,609,~2,~19,110,6,14,,Vinci279,2017-05-30 15:00:46.351469,2017-05-30 15:00:46.351469
160,Ranked Solo Standard 3v3,Gold I,Division II,603,~14,~5,23,6,14,,Vinci279,2017-05-30 15:00:46.387767,2017-05-30 15:00:46.387767
161,Ranked Standard 3v3,Silver III,Division IV,584,~20,~1,43,6,14,,Vinci279,2017-05-30 15:00:46.425052,2017-05-30 15:00:46.425052
162,Ranked Doubles 2v2,Platinum II,Division II,901,~11,~10,186,2,15,,m_makarios,2017-05-30 15:00:48.668199,2017-05-30 15:00:48.668199
163,Ranked Standard 3v3,Platinum III,Division III,1000,~4,~18,296,2,15,,m_makarios,2017-05-30 15:00:48.676458,2017-05-30 15:00:48.676458
164,Ranked Duel 1v1,Gold III,Division III,756,~19,~2,14,2,15,,m_makarios,2017-05-30 15:00:48.684185,2017-05-30 15:00:48.684185
165,Ranked Doubles 2v2,Platinum III,Division II,969,~13,~9,81,4,15,,GuiConti,2017-05-30 15:00:50.628382,2017-05-30 15:00:50.628382
166,Ranked Standard 3v3,Platinum III,Division III,999,~5,~17,296,4,15,,GuiConti,2017-05-30 15:00:50.636958,2017-05-30 15:00:50.636958
167,Ranked Solo Standard 3v3,Bronze II,Division III,327,,,5,3,11,,76561198146967680,2017-05-30 15:00:53.710569,2017-05-30 15:00:53.710569
168,Ranked Doubles 2v2,Gold III,Division II,757,~15,~6,198,1,16,,mmendesc,2017-05-31 15:00:26.587439,2017-05-31 15:00:26.587439
169,Ranked Standard 3v3,Platinum II,Division III,928,~6,~16,301,1,16,,mmendesc,2017-05-31 15:00:26.612376,2017-05-31 15:00:26.612376
170,Ranked Duel 1v1,Gold I,Division III,630,,,1,6,15,,Vinci279,2017-05-31 15:00:29.485668,2017-05-31 15:00:29.485668
171,Ranked Doubles 2v2,Gold I,Division I,609,~2,~19,110,6,15,,Vinci279,2017-05-31 15:00:29.499709,2017-05-31 15:00:29.499709
172,Ranked Solo Standard 3v3,Gold I,Division II,603,~14,~5,23,6,15,,Vinci279,2017-05-31 15:00:29.518248,2017-05-31 15:00:29.518248
173,Ranked Standard 3v3,Silver III,Division IV,584,~20,~1,43,6,15,,Vinci279,2017-05-31 15:00:29.526866,2017-05-31 15:00:29.526866
174,Ranked Doubles 2v2,Platinum II,Division II,901,~11,~10,186,2,16,,m_makarios,2017-05-31 15:00:38.911559,2017-05-31 15:00:38.911559
